,artist,song,album,lyrics
0,Eminem,1-833-2GET-REV (REVIVAL Voicemail),,"Thank you for your interest in Revival, the number one slightly invasive treatment for Atrox Rithimis. You only get one shot to beat AR. Don't miss your chance with Revival. Please hold to speak with a patient care representative.
While you wait, here's some additional information:
You should discuss the potential benefits and risks of Revival with your doctor or clergyman. Revival is a non-injectable medication given through the ear canal and is not intended for anal use. Revival is a non-narcotic medication intended for daily use that can be taken with or without food.
Tell your doctor about all health conditions, including if you:
Have a history of confusion or poor judgment
Are allergic to tympanic stimulators
Are pregnant or nursing
Revival does not cause serious side effects including:
Fleem's syndrome
Mild to disfiguring acne
Brain problems
Male pattern baldness, most commonly in women
Rage
Decreased appetite
Increased appetite
Seasonal affective disorder
Loose gums
Gluten sensitivity
Toothpain
Tight glutes
General feeling of head trauma
Softening of fingernails
Dramatically increased hair growth
Sudden nut allergies
Ringing in your mouth
and Light-leggedness
Thank you for continuing to hold. We give you some serious fucking credit for sticking with us. Tell your doctor right away if you have any of the following symptoms:
Fever, sweats or chills
Muscle ache
Cough
Shortness of breath
Blood and phlegm
Weight loss
Warm, red, or painful skin or sores on your body
Diarrhea or stomach pain
Burning when you urinate
Chills when you urinate
Urinating more often than normal
Feeling very tired or night sleeping
Revival does not cause you side effects but if you have them you should definitely seek medical attention."
1,Eminem,1996 Underground Freestyle,,"Any rapper saying those kind of rhymes
In this day and age in this period of time
Tryna battle Eminem is worse than
David Starr tryna battle Proof, Eye-Ku, BFlat and Bizarre
(unintelligible)
That's why you beg to differ me,you ain't got no style
Plus you lack delivery, not to brag
I don't need to boast
Look, my face is pale, but you look like you seen a ghost
(unintelligible)
You couldn't slip up in the zone, if I put banana peels
Around this fucking microphone
So get a bulldozer, start from bottom to top
And tear this building down
'cause that's the only way you 'recking shop"
2,2Pac,16 on Death Row,R U Still Down? (Remember Me),"Death Row
That's where mothafuckas is endin' up

Dear Mama, I'm caught up in this sickness
I robbed my adversaries but slipped and left a witness
Wonder if they'll catch me or will this nigga snitch?
Should I shoot his bitch or make the nigga rich?
Don't wanna commit murder, but damn, they got me trapped
Hawkin' while I'm walkin' and talkin' behind my back
I'm kind of schizophrenic, I'm in this shit to win it
?Cause life's a Wheel of Fortune, here's my chance to spin it
Got no time for cops who trip and try to catch me
Too fuckin' trigger-happy to let them suckers snatch me
Niggas gettin' jealous, tryin' to find my stash
Whip out the 9, now  pump yo' ass
Peter picked a pepper, but I can pick a punk
Snatched him like a bitch and threw him in the trunk
The punk thought I was bluffin', but swear I'm nothin' nice
Before I take your life, first wrestle with these mites
I listened to his screams until he went insane
I guess the little mites had finally found his brain
New Rovers pull me over, I'm sentenced to the pen
Remember that little bird? He snitched and told a friend
It's trouble on my mind, I'm with the old-timers
And fuck five-0! Blaow, blaow! Turn 'em into forty-niners

Bye bye, I was never meant to live
Can't be positive when the ghetto's where you live
Bye bye, I was never meant to be
Livin' like a thief, runnin' through the streets
Bye bye, and I got no place to go
Where they find me; 16 on Death Row

Dear Mama, these cops don't understand me
I turned to a life of crime ?cause I came from a broken family
My uncle used to touch me, I never told you that
Scared what you might do, I couldn't hold you back
I kept it deep inside, I done let it fuel my anger
I'm down for all my homies, no mercy for a stranger
The brother in my cell is 16 as well
It's hard to adapt when you're black
And you're trapped in a living hell
I shouldn't have let him catch me
Instead of livin' sad in jail I coulda died free and happy
And my cellmate's raped on the norm
And passed around the dorm
You can hear his asshole gettin' torn
They made me an animal
Can't sleep, instead of countin' sheep, niggas countin' cannibals
And that's how it is in the pen
Turn old and cold and your soul is your best friend
My mama, pray for me
Tell the Lord to make way for me, prepare any day for me
(Why?) ?Cause when they come for me they find a struggler
To the death I take the breath from your jugular
The trick is to never lose hope
I found my buddy hangin' dead from a rope; 16 on Death Row

Bye bye, I was never meant to live
Can't be positive when the ghetto's where you live
Bye bye, I was never meant to be
Livin' like a thief, runnin' through the streets
Bye bye, and I got no place to go
Where they find me; 16 on Death Row

Dear Mama, they sentenced me to death
Today's my final day, I'm countin' every breath
I'm bitter ?cause I'm dyin', so much I haven't seen
I know you never dreamed your baby would be dead at 16
I got beef with a sick society
That doesn't give a shit and they too quick to say goodbye to me
They tell me the preacher's there for me
He's a crook with a book, that mothafucka never cared for me
He's only here to be sure I don't drop a dime to God
About the crimes he's committin' on the poor
And how can these people judge me?
They ain't my peers, and in all these years they ain't never love me
I never got to be a man
Must be part of some big plan to keep a nigga in the state pen
And to my homies out buryin' mothafuckas
Steer clear of these Aryan mothafuckas
?Cause once they got you locked up
They got you trapped, you're better off gettin' shot up
I'm convinced, self-defense is the way
Please stay strapped, pack a gat every day
I wish I woulda known while I was out there
Now I'm straight headin' for the chair

Bye bye, I was never meant to live
Can't be positive when the ghetto's where you live
Bye bye, I was never meant to be
Livin' like a thief, runnin' through the streets
Bye bye, and I got no place to go
Where they find me; 16 on Death Row

16 on Death Row, Death Row
Death Row, Death Row
16 on Death Row, Death Row, Death Row
It's to all my partners
In the penitentiaries; 16 on Death Row"
3,2Pac,187 On A Hook (Remix),," (2X)
West side, it's 187 on a motherfucking hook
Niggas out of bounds should have shook
We bangin' by the book
Got shot in the neck tryin' to get away
And to a vigi it ain't nothin' but gun play

HEEY!
Got some static for some niggas on the other side of town
Let my little cousin K roll, he's a rider now
What they want from us motherfuckin' thug niggas?
Used to love niggas, now I plug niggas
And slug niggas, am I wrong?
Niggas makin' songs, tryin' to get with us
Must be gone on stress weed, in the West we trust
To the chest I BUST! Then we ride 'til the sun come
Shinin' back to brighten up the sky, how many die?
Heard the Fugees was tryin' to do me - look bitch!
I cut your face, this ain't no motherfuckin' movie
THEN! We watch the other two die slow
Castrated entertainin' at my motherfuckin' sideshow
BAM! Set my plan in mo', time to exterminate my foes
I can't stand you hoes, uhh
Now label this my fuckin' trick shot
My lyrics runnin' all you cowards out of hip-hop
When we ride - on our enemies

Nigga to catch this nigga, I'm ready to peel one
Instead of the shoulders I gotta distort a nigga's grill some
Vigilante and villains and Regime niggas come with steel guns
Get ready to sleep 'cause you tripped when you fucked with a villain
Which one of y'all motherfuckers said fuck Tech N9ne
Shady Pacino turned C-ho when I clutched that N9ne
Me and my nigga C-Bo Yuk mezzole not only bust that rhyme
We can do it illegal so the evil'll give a fuck next time
Nigga don't you ever spit my name
And thinking that shit's the same
Two-thou' we switched the game and spit the flame (Wah)
""Allah hu akbar"" - is what I say before I buck you
Motherfuck busters like Vell Bakardy yeah nigga had enough ya'll
Get ready to suffer - kneel down
Nigga, Tech N9ne Killer Klown
Nigga, six feet underground is where you're found
Nigga, 40-Water would never did a song wit you if he knew the song
Was about me never make a million
Next time say my name say my name like Destiny's Children - bitch
 (2X)

Come take a journey through my mind's eye
You crossed the game, don't explain
Nigga, time to die, say goodbye
Watch my eyes - when I pull the trigger
So right before you die you bow before a bigger nigga
Now dry your eyes, you was heartless on your hits
Niggas love to scream peace after they start some shit - pay attention
Here's a word to those that robbed me
I murder you then I, run a train on Mobb Deep!
Don't fuck with me!
Nigga you're barely livin', don't you got sickle cell?
See me have a seizure on stage, you ain't feelin' well, hell
How many niggas wanna be involved?
See I was only talkin' to Biggie
But I'll kill all'a y'all, then ball
Then tell Da Brat to keep her mouth closed
Fuck around and get tossed up, by the fuckin' Outlawz
Before I leave, make sure everybody heard
Know I meant, every motherfuckin' word
When we ride on our enemies

Buck these niggas, I'm a killer screamin' Regime
Deep navis with heat like the A-Team
And when my K scream, it's causin' nothin' but murder
Bucking these niggas makin' hate me
Yeah, nigga, we don't give a fuck, nigga we thug lords
Connected from Tech N9ne and touched for the thug war
Who got love for these niggas with no love
At all give a fuck guns clutched
Only left a ball I know you heard of me - wanna murder me
'Cause I'm the nigga that cooked the bird (?) in the kitchen
Moms itchin' had the whole gang unwrappin' chickens
Nigga and we was headed for the jack strapped
With a fat gat, all my niggas down to rat-tat-tat-tat
West coast bad boys we was yellin'
Now West Coast Mafia Regime and thug zellin' Nigga
 (2X)"
4,The Notorious B.I.G.,1970 Somethin',Duets: The Final Chapter,"1970 somethin', 1970 somethin'
1970 somethin', 1970 somethin'
1970 somethin', 1970 somethin'
1970 somthin'

1970 somethin'
Nigga I don't sweat the date, my moms is late
So I had to plan my escape, out the skins
In this world, the fly girl
Tanqueray or Hennessy until I called Earl
Ten months in this gut, what the fuck
I wish moms would hurry up so I could get buck
While, Juvenile rippin' mics and shit
New York, New York ready for the likes of this
Uh, then came the worst date, May, 21st
2:19 is when my mama's water burst
No spouse in the house, so she rolls herself
To the hospital, to see if she could get a little help
Umbilical chord's wraped around my neck
I'm seein' my death, and I ain't even took my first step
I made it out, I'm bringin' mad joy
The doctor looked and said ""He's gonna be a Bad Boy.""

I remmember back in time
(1970 somethin', 1970 somethin')
Before all the homies died
Before all the dollars and nines
I knew that I was goin' somewhere
Let me take you back in time
(19, 70 somethin', 1970 somethin')
Before I even got the rhyme, before I had nickels and
Dimes, I knew that I was goin' somewhere

Would 'Pac be alive, if you let 'Pac drive?
Swear to God, to reverse, that I'll give my Left Eye
With the right I'll visualize the king of Bed-Stuy
Checkin' his daughter, Tyanna into junior high
If I was in Brooklyn and B.I. was still alive
In 2006, it might sound like this
NY, 7-1-8's, 2-1-2's
With Sue's rendezvous, it's like Moulin Rouge
High fashion, uptown Air Force Ones and Vasquez
Puerto Ricans with fat asses
Blazed dutch masters, we dump ashes
On models in S classes for you bastards
Catch a cab to Manhattan, with that Broadway actin'
You hype, that Belly shit'll get you capped and wrapped in plastic
Tell the captain to ask Rog' What's Happenin'?
I hear, nor speak no evil inside the magnum

(1970 somethin', 1970 somethin')
I remmember back in time
Before all the homies died
Before all the dollars and nines
I knew that I was goin' somewhere
(19, 70 somethin', 1970 somethin')
Let me take you back in time

Now I'm thirteen, smokin' blunts makin' cream
On the drug scene, fuck a football team
Riskin' ruptured spleens by the age of sixteen
Hearin' the coach scream ain't my lifetime dream
I mean, I wanna blow up, stack my dough up
So school, I didn't show up, it fucked my flow up
Mom said that I should grow up, and check myself
Before I wreck myself, disrespect myself
Put the drugs on the shelf, nah, couldn't see it
Scarface, king of New York, I wanna be it
Rap was secondary, money was necessary
Until I got incarcerated, kinda scary
C-74, Mark 8 set me straight
Not able to move behind a great steel gate
Time to contemplate, damn, where did I fail?
All the money I stacked, was all the money for bail

I remmember back in time
(1970 somethin', 1970 somethin')
Before all the homies died
Before all the dollars and nines
I knew that I was goin' somewhere
Let me take you back in time
(1970 somethin', 1970 somethin')
Before I even got the rhyme, before I had nickels and
Dimes, I knew that I was goin' somewhere
And I knew that I was going somewhere
Ooooh, oooooh
1970 somethin', 1970 somethin'"
5,The Notorious B.I.G.,1991 Block Party Freestyle,,"Yes it's me, the B.I.G
Competition ripper ever since 13
Used to steal clothes was considered a thief
Until I started hustlin' on Fulton Street
Makin' loot, knockin' boots on the regular
Pass the microphone I'm the perfect competitor
Jewels and all that, my clothes is all that
Chumps steppin' to me, that's where they took a FALL at!
B.I.G. without burner, that's unheard of
I stay close to mine like Tina on Turner
Quick to smother, a punk motherfucker
Undercover, word to mother, I'm above ya
And I love ya, cause you're a sweet bitch
A crazy crab, the type to make my dick itch
I flow looser than Luther, words ya get used ta
B.I.G. is a born trooper
Like ice cream I scoop ya, my music you wanna get loose ta
Stay pimp, and I'm not a booster
So what'cha got to say? This mackin' word is bond
There's no other assumption, I got it going on
I'm not conceited, my friends tell me this
Even my mother, be noddin' her head to this
Makes her proud to see her one son get loud
Flip on a sucker, and bow to the crowd
Drink a little Hennessy, smoke a blunt or 2 or 3 or 4
Live in action, guaranteed RAW (dumb ass nigga)"
6,Nas,1996 Freestyle,,"What up?
Escobar season begins
Repent your sins
Nine-Six
Trackmasters
Check it
Spark the lye with the eight-forty I fly
Pretty thug show no love its like when doves cry
Maybe I'm just too demanding, parked the Land
Mark Buchanan, fuck a job I'mma die scramblin
Digger gold, dig a bigger hole in ya soul
Que Pasa, Pablo's throne cabron
At the airport the Mobb picked me up in a truck
Jewelry chunky like fuck never scared to get stuck
So whats the deal Papi?
Heard the feds could of knocked me
Had the cuban posse all up in my room and lobby
Negotiating, my name holds weight, we motivatin'
Hustling, as if God was dancing with Satan
The Firm waitin', to get ajourned cause we facing
Double life, thuggin for life, you taste it
The white numbin ya toungue
I bought it from Dominicans
A suitcase of benjamins swung tight in his fingers
Had the Firm gun slingers, hit the lights, grab the white
Murder everything in site, and jet in the Bimmers
Now im home with the phone screaner
Resting the stones in a jewelry cleaner
Checkin my mail reading my supoena
To the witness standing, I got remanded
Livin on the 4th building and can't stand it
Gotta fight my case from the inside
Niggas telling, I felt it coming when my pockets started swelling
But thats the game for ya
Hid a stash to ya lawyers
Supreme court, Queens New York will bore ya'
Suited up, booted up, with the jail cut
Million dollar bail what?
Z put up the house and I was out
Word the Fuck Up
Time to get the shit on son
Tryna trap a nigga
Incarcerate me yo'
Check it tho, yo, yo
Im gonna make it if I try, cross my heart hope to die
(cross my heart hope to die)
Im gonna make it if I try, cross my heart hope to die
Praise the Lord, ive been scarred with hot water
Days are shorter, next court dates around the corner
Money ain't the same, shit is outta order
Since the days of Rich Porter
Something gotta give, I ain't trying to bid
Now I run up in cribs, body shit, but no women no kids
In the Bridge where the murderers live
I used to make a quarter million monthly
I was ill until they sunk me
Killed the snitch with the pump 3 shots
Bought a passport off a junkie
The Firm helped me flee out the country
Word and I'm out, Pakastinian land
Chilling with my man Jungle
The commissioner Stout
Killa B, what it is nigga firm biz"
7,Nas,1 Shot,,"Verse 1:
You only get 1 shot to make a first impression. There ain't no such thing as second chances in this game. It only takes 1 man to knock you out the box. It only takes 1 woman to drive you insane. It only took 1 sniff now look Im addicted. It took 1 bad decision. Now my whole life is shifted. It only took 1 shot to kill my best friend. It only took 1 Glock for me to get revenge. It only takes 1 pill just to ease the pain. It only takes 1 bullet to end everything. Right here and right now. ?cause of sick of all of it. The 1 times. The jakes and the fakes. Sick of all of them. To many haters hating 1 man. Wish that I could burry all of them. Under 1 grave. Without even 1 chance of being found. Yo it takes 1 strike. 2 strikes. 3. And you?re out of here. Getting 25 to life. Without a chance to get out of there. 12 jurors. 1 judge. 1 cell. No love. 1 god. And 1 chance to change things. You get 1
Chorus:
You get 1 shot. And 1 life. This is real life. On 1 Mic. You get 1 shot. And 1 life. This is real life. A ha...A ha
You get 1 shot. And 1 life. This is real life. On 1 Mic. You get 1 shot. And 1 life. Better get it right.A ha...A ha
Verse 2:
It only takes 1 beat for me to fxxx it up. It only takes 1 verse for you to give it up. It only takes 1 mic for me to reck shit. It only takes 1 time for you to know the time. It only takes 1 listen for you to feel the man. It only takes 1 DJ to make a band. It only takes 1 convo to understand. It only takes 1 snitch to go and take the stand. It only takes 1 blunt to make the pain go. It only takes 1 lie to know she gotta go. It only took 1 look to know that she?s a hoe. It only took 1 no from you for her to go. She asked you to marry her. And you passed it up. You had your opportunity
Chorus:
You get 1 shot. And 1 life. This is real life. On 1 Mic. You get 1 shot. And 1 life. This is real life. A ha...A ha
You get 1 shot. And 1 life. This is real life. On 1 Mic. You get 1 shot. And 1 life. A ha...A ha"
8,Ice Cube,$100 Dollar Bill Y'all,Greatest Hits,"Get numbers, get names
Thick dames
Headhunters get brains
Big thangs
Give niggas shit-stains
The shit, man
And don't you forget, man

We be
The best of CG
Greedy
Abduct the PD
See me?
Nigga, not in 3D
Be me?
Hah, it's not easy
I'm breezy
And off the heezy
Me and my woman's like George & Wheezy
Movin' on up, niggas use to tease me
See me on top
It makes you queasy
Sick with it
Bitch, I'm Bruce Lee
Seduce me
You're nice and juicy
In the parking lot, I gots to get mine
Why the fuck we goin' in when there's bitches in line?
I spend my time watchin' bitches' behinds
Thinkin' bad shit in the back of my mind
I bump and grind with nothing less than a dime
Making movie money, you still investin' in rhymes

And I'm in this bitch
With a hundred dollar bill, y'all
About to spend this bitch
I'm in this bitch
I got a hundred dollar bill, y'all
About to spend this bitch
I'm in this bitch
Who got a hundred dollar bill, y'all?
About to spend this bitch
I'm in this bitch
I got a hundred dollar bill, y'all
About to spend this bitch

I'm in here
Got all you freaks lookin'
When we walk by, pussy start cookin'
Rookies start tookin'
Get your ass up, V.I.P. section's gettin' tooken
Might dance, might not
Might spend enough
Cool as hell, but still pipin' hot
Soon as I find a spot
All my people gather 'round
The nigga with the shiny watch--me
Ice Cube, motherfucker
Next to me, you a test tube motherfucker
We kinda rude, motherfucker
Get too close and bucka! Bucka! Bucka!
Don't want no problems, y'all
Fuck around, I'll pull out the problem-solv'
And watch egos dissolve
Nine times out of ten, you hoes involved

And I'm in this bitch
With a hundred dollar bill, y'all
About to spend this bitch
I'm in this bitch
I got a hundred dollar bill, y'all
About to spend this bitch
I'm in this bitch
Who got a hundred dollar bill, y'all?
About to spend this bitch
I'm in this bitch
I got a hundred dollar bill, y'all
About to spend this bitch

Get numbers, get names
Thick dames
Headhunters get brain
Big thangs
Give niggas shit-stains
The shit, man
And don't you forget, man

Security pat downs
I'm a star, motherfucker
I been put' the gat down
I been put' the mack down
But check the people that I'm with
Cause they'll lay you flat down
And they'll do it right now
Yeah, you scared of the phone numbers that a nigga might dial
Club-hop, car shows, picnics
Big cars, big jewels, big dicks
Rush doors
Or gotta hop the fence
Blow this door
Gotta blow my rent
Gotta show my ass, then go repent
Gotta call in sick
And tell 'em where I went

And I'm in this bitch
With a hundred dollar bill, y'all
About to spend this bitch
I'm in this bitch
I got a hundred dollar bill, y'all
About to spend this bitch
I'm in this bitch
Who got a hundred dollar bill, y'all?
About to spend this bitch
I'm in this bitch
I got a hundred dollar bill, y'all
About to spend this bitch
(You know, You know)
(You know, You know)"
9,Ice Cube,24 Mo Hours,War & Peace Vol. 2 (The Peace Disc),"Put the whoop on 'em (Ice Cube, a.k.a. Don Mega)
Put the whoop on 'em (a.k.a. Poppa Don)
Put the whoop on 'em (a.k.a. the Big Fish)
Put the whoop on 'em (a.k.a. Brainiac)
Keep it gangsta y'all, Keep it gangsta (uh huh)
Keep it gangsta y'all, Keep it gangsta (Keep it gangsta)
Keep it gangsta y'all, Keep it gangsta (all my life)
Keep it gangsta y'all, Keep it gangsta (all my life)

Everyting is real on this concrete and steel
Niggas peel your cap for a happy meal
I got to deal with this wall of confusion, world of illusions
We ain't losin' playa (never), we's winnin'
Playin' every night when we sendin' paper chasing, grinin'
While you still chasin' women 'round tables no lieutenants
Use your own man grown, (hook it up)
It's Ice Cube and the family stone
Breakin' bread every night in L.A
And I pray, for one more day that's unate (check it)
It's 90 degrees no enemies in sight
Even the Don gotta fall to his knees every night

Can I get 24 more hours (can I get get)
Without dealin' with these killers and these cowards (can I can can)
I don't wanna lose, all I wanna do is win
I fucked up today, can I try it again?

I'm lovin' every breath like a cold sip of soda
While I'm bankin' down these back streets, thanks for lookin' over
Damn sure nice to know ya, fuck a four leaf clover
And thanks for this range rover
We gets down with this underground gangsta shit
Politians and parents, always havin' a fit
Everybody wanna know ""who you with?"" ""where you from?""
Why you lookin' at me dumb?
Here's a bullet cause you number one
Nobody knows, the fate of a platinum rap star (nobody knows)
We gotta wait until tommorow
(yeah yeah)
And I'm a nigga like you (yeah yeah)
You know I got the bar

Can I get 24 more hours (can I get get)
Without dealin' with these killers and these cowards (can I can can)
I don't wanna loose, all I wanna do is win
I fucked up today, can I try it again?
Put the whoop on 'em (look to Allah)
Put the whoop on 'em (pray to your God)
Put the whoop on 'em (I look to Allah)
Put the whoop on 'em (pray to your God)

Mister prosperity, these niggas wanna bury me
Your bitch wanna marry me
Rollin' more than a cherokee
Don't, I drive what I want, and what I ain't drivin' I don't want
Let it be known (let it be known)
Permits hit the conk in the reagal
But weez legal niggas dollars got bald eagles nigga
You can't undermine Mister Grime
You rappin' 'bout the same shit I rapped about in '89
Tryin' to be the new fiend (never), with raps complex
They love you one minute and they hate you the next
Push my lex thru the california sunshine
Look back on my life and say ""damn I've done fine""
(damn) (I've done fine)
Mister Ice Cube, I'm always on the grime
(always, always)
The Don Mega Mega Don, Don Mega Mega Don

Can I get 24 more hours (can I get get)
Without dealin' with these killers and these cowards (can I can can)
I don't wanna lose, all I wanna do is win
I fucked up today, can I try it again?
Keep it gangsta y'all, Keep it gangsta (keep it gangsta)
Keep it gangsta y'all, Keep it gangsta (everybody)
Keep it gangsta y'all, Keep it gangsta (Keep it gangsta)
Keep it gangsta y'all, Keep it gangsta (all my life)

I know we can make it, I know that we can
I know damn well that we can work it out
I know we can make it, I know that we can
I know damn well that we can work it out
I know we can make it, I know that we can
I know damn well that we can work it out
I know we can make it, I know that we can
I know damn well that we can work it out
And we can work it out, we goan work it out
My niggas work it out, help us work it out"
